"artist_name","Valence","danceability","energy","loudness","speechiness","acousticness","liveness","tempo","track_name","album_name","album_release_year"
"Ed Sheeran",0.201,0.614,0.379,-10.48,0.0476,0.607,0.0986,107.989,"Photograph","x (Deluxe Edition)",2014
"Ed Sheeran",0.543,0.66,0.316,-11.567,0.0364,0.529,0.104,91.207,"Bloodstream","x (Deluxe Edition)",2014
"Ed Sheeran",0.359,0.53,0.346,-10.497,0.0376,0.697,0.105,121.876,"Tenerife Sea","x (Deluxe Edition)",2014
"Ed Sheeran",0.908,0.767,0.449,-7.158,0.0364,0.024,0.151,95.03,"Runaway","x (Deluxe Edition)",2014
"Ed Sheeran",0.619,0.759,0.725,-7.006,0.158,0.576,0.0771,87.467,"The Man","x (Deluxe Edition)",2014
"Ed Sheeran",0.591,0.781,0.445,-6.061,0.0295,0.474,0.184,78.998,"Thinking out Loud","x (Deluxe Edition)",2014
"Ed Sheeran",0.333,0.552,0.637,-6.568,0.0445,0.464,0.136,97.97,"Afire Love","x (Deluxe Edition)",2014
"Ed Sheeran",0.904,0.754,0.613,-6.342,0.229,0.318,0.335,113.196,"Take It Back","x (Deluxe Edition)",2014
"Ed Sheeran",0.752,0.752,0.76,-5.34,0.0341,0.319,0.335,107.034,"Shirtsleeves","x (Deluxe Edition)",2014
"Ed Sheeran",0.295,0.58,0.318,-8.926,0.0279,0.756,0.117,129.757,"Even My Dad Does Sometimes","x (Deluxe Edition)",2014
"Ed Sheeran",0.297,0.641,0.176,-11.692,0.0349,0.638,0.252,76.031,"I See Fire","x (Deluxe Edition)",2014
"Ed Sheeran",0.306,0.464,0.321,-11.12,0.0418,0.877,0.0789,93.528,"One","x (Wembley Edition)",2013
"Ed Sheeran",0.336,0.697,0.377,-7.755,0.0397,0.556,0.0999,138.754,"I'm a Mess","x (Wembley Edition)",2013
"Ed Sheeran",0.939,0.818,0.67,-4.451,0.0472,0.304,0.0601,119.988,"Sing","x (Wembley Edition)",2013
"Ed Sheeran",0.849,0.806,0.608,-7.008,0.0659,0.0113,0.635,95.049,"Don't","x (Wembley Edition)",2013
"Ed Sheeran",0.809,0.791,0.669,-7.189,0.146,0.175,0.33,92.013,"Nina","x (Wembley Edition)",2013
"Ed Sheeran",0.201,0.614,0.379,-10.48,0.0476,0.607,0.0986,107.989,"Photograph","x (Wembley Edition)",2013
"Ed Sheeran",0.543,0.66,0.316,-11.567,0.0364,0.529,0.104,91.207,"Bloodstream","x (Wembley Edition)",2013
"Ed Sheeran",0.359,0.53,0.346,-10.497,0.0376,0.697,0.105,121.876,"Tenerife Sea","x (Wembley Edition)",2013
"Ed Sheeran",0.908,0.767,0.449,-7.158,0.0364,0.024,0.151,95.03,"Runaway","x (Wembley Edition)",2013
"Ed Sheeran",0.619,0.759,0.725,-7.006,0.158,0.576,0.0771,87.467,"The Man","x (Wembley Edition)",2013
"Ed Sheeran",0.591,0.781,0.445,-6.061,0.0295,0.474,0.184,78.998,"Thinking out Loud","x (Wembley Edition)",2013
"Ed Sheeran",0.333,0.552,0.637,-6.568,0.0445,0.464,0.136,97.97,"Afire Love","x (Wembley Edition)",2013
